                                                                                                                                                                               12 May 2026 21:18:32
Satellite-MAVEN1


Penumbra Start Time (UTCG)     Umbra Start Time (UTCG)     Umbra Stop Time (UTCG)     Penumbra Stop Time (UTCG)    Obstruction    Duration (sec)    Max Percent Shadow    Time of Max Shadow (UTCG)
  20 Feb 2015 08:50:22.116    20 Feb 2015 08:50:44.692    20 Feb 2015 09:23:23.051     20 Feb 2015 09:23:42.496    Mars                 2000.380            100.000000     20 Feb 2015 08:50:44.692
  20 Feb 2015 11:26:43.237    20 Feb 2015 11:27:05.481    20 Feb 2015 12:00:03.298     20 Feb 2015 12:00:22.426    Mars                 2019.188            100.000000     20 Feb 2015 11:27:05.481
  20 Feb 2015 14:02:56.030    20 Feb 2015 14:03:17.953    20 Feb 2015 14:36:34.612     20 Feb 2015 14:36:53.436    Mars                 2037.406            100.000000     20 Feb 2015 14:03:17.953
  20 Feb 2015 16:39:00.579    20 Feb 2015 16:39:22.198    20 Feb 2015 17:12:57.105     20 Feb 2015 17:13:15.639    Mars                 2055.060            100.000000     20 Feb 2015 16:39:22.198
  20 Feb 2015 19:14:56.971    20 Feb 2015 19:15:18.295    20 Feb 2015 19:49:10.889     20 Feb 2015 19:49:29.144    Mars                 2072.174            100.000000     20 Feb 2015 19:15:18.295
  20 Feb 2015 21:50:45.298    20 Feb 2015 21:51:06.337    20 Feb 2015 22:25:16.076     20 Feb 2015 22:25:34.063    Mars                 2088.765            100.000000     20 Feb 2015 21:51:06.337
  21 Feb 2015 00:26:25.640    21 Feb 2015 00:26:46.409    21 Feb 2015 01:01:12.766     21 Feb 2015 01:01:30.496    Mars                 2104.856            100.000000     21 Feb 2015 00:26:46.409
  21 Feb 2015 03:01:58.086    21 Feb 2015 03:02:18.595    21 Feb 2015 03:37:01.074     21 Feb 2015 03:37:18.556    Mars                 2120.470            100.000000     21 Feb 2015 03:02:18.595
  21 Feb 2015 05:37:22.723    21 Feb 2015 05:37:42.978    21 Feb 2015 06:12:41.098     21 Feb 2015 06:12:58.342    Mars                 2135.618            100.000000     21 Feb 2015 05:37:42.978
  21 Feb 2015 08:12:39.632    21 Feb 2015 08:12:59.645    21 Feb 2015 08:48:12.942     21 Feb 2015 08:48:29.955    Mars                 2150.323            100.000000     21 Feb 2015 08:12:59.645
  21 Feb 2015 10:47:48.900    21 Feb 2015 10:48:08.677    21 Feb 2015 11:23:36.706     21 Feb 2015 11:23:53.498    Mars                 2164.598            100.000000     21 Feb 2015 10:48:08.677
  21 Feb 2015 13:22:50.608    21 Feb 2015 13:23:10.155    21 Feb 2015 13:58:52.489     21 Feb 2015 13:59:09.067    Mars                 2178.458            100.000000     21 Feb 2015 13:23:10.155
  21 Feb 2015 15:57:44.843    21 Feb 2015 15:58:04.169    21 Feb 2015 16:34:00.390     21 Feb 2015 16:34:16.761    Mars                 2191.918            100.000000     21 Feb 2015 15:58:04.169
  21 Feb 2015 18:32:31.677    21 Feb 2015 18:32:50.791    21 Feb 2015 19:09:00.500     21 Feb 2015 19:09:16.671    Mars                 2204.993            100.000000     21 Feb 2015 18:32:50.791
  21 Feb 2015 21:07:11.201    21 Feb 2015 21:07:30.111    21 Feb 2015 21:43:52.922     21 Feb 2015 21:44:08.899    Mars                 2217.698            100.000000     21 Feb 2015 21:07:30.111
  21 Feb 2015 23:41:43.494    21 Feb 2015 23:42:02.199    22 Feb 2015 00:18:37.739     22 Feb 2015 00:18:53.531    Mars                 2230.038            100.000000     21 Feb 2015 23:42:02.199
