Time_s,C&DH_Primary,C&DH_Backup,AACS_RWA,AACS_StarTracker,AACS_IMU,AACS_SunSensor,Telecom_X_SDST,Telecom_X_TWTA,Telecom_UHF_Electra,Propulsion_Valves,Propulsion_Heaters,Thermal_Heaters,Thermal_Louvers,Power_PCU,Power_Shunt,Payload_PFP,Payload_IUVS,Payload_NGIMS,Payload_APP_Actuator
0,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
59.9999964237213,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
120.000002905726,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
179.999999329448,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
239.999995753169,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
300.000002235174,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
359.999998658895,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
419.999995082617,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
480.000001564622,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
539.999997988343,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
600.000004470348,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
660.00000089407,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
719.999997317791,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
780.000003799796,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
840.000000223517,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
899.999996647239,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
960.000003129244,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1019.99999955297,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1079.99999597669,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1140.00000245869,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1199.99999888241,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1259.99999530613,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1320.00000178814,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1379.99999821186,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1440.00000469387,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1500.00000111759,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1559.99999754131,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1620.00000402331,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1680.00000044703,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1739.99999687076,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1800.00000335276,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1859.99999977648,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1919.9999962002,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
1980.00000268221,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
2039.99999910593,120,0,70,12,18,2,15,0,0,0,10,192,3,85,5,75,50,30,24
