Orbit,E_solar_Wh,E_demand_Wh,SOC_min_pct,SOC_max_pct,SOC_mean_pct,Eclipse_s,Theta_mean_deg,Energy_ratio
1,9846.23536666667,3199.5,85,100,98.9869918503136,0,0,3.07742940042715
2,9844.0387,3199.5,100,100,100,0,0,3.07674283481794
3,9842.2314,3199.5,100,100,100,0,0,3.07617796530708
4,9545.76658333333,2963.5,100,100,100,0,9.53551481481482,3.22111239525336
5,9554.01588333333,2973.33333333333,100,100,100,0,9.21362222222222,3.21323404147982
6,4178.45028333333,3267,73.380178493924,100,93.8785439305771,0,65.7592222222222,1.27898692480359
7,2622.69033333333,3289.5,60.3702300648639,87.8435430832855,76.9158204012485,0,83.9483037037037,0.797291483001469
8,2712.58605,3289.5,48.6671987726672,75.9783014443489,64.4851415034942,0,83.2250740740741,0.824619562243502
9,2873.84041666667,3289.5,37.51032681689,64.3848545102733,52.2918194952387,0,82.0818,0.873640497542686
10,3028.4551,3161.575,28.8476996226384,53.0578263346369,41.0426950637839,0,80.8967962962963,0.957894435526597
11,3064.88431666667,2917.29333333333,24.83848350996,44.3015429235402,34.1360052202237,0,80.5769888888889,1.05059175285767
12,2809.77496666667,2771.96166666667,23.7583934944075,40.2037602478796,31.9425868488706,0,82.1788444444445,1.01364135025917
13,2379.20316666667,2736.93833333333,23.5452936619905,38.5898016583495,30.9853273574155,0,85.8101962962963,0.869293669386047
14,2277.44986666667,2520.55666666667,23.4947278736274,38.3830832851098,29.8701941758022,0,90.7953481481482,0.903550353294973
15,2352.08341666667,2428.525,23.5645117187519,38.2823575695669,29.1917531491034,0,87.874537037037,0.968523452164036
16,4572.51156666667,3115.11666666667,23.780419997229,47.8218231879359,36.2730212011091,0,61.2811777777778,1.46784600897773
17,3086.58751666667,3289.5,30.1610890631047,53.6868181694897,42.2046570048061,0,79.8147481481482,0.938315098545878
18,2159.47928333333,2936.46666666667,26.0069758963899,43.3439852038744,33.5366266977672,0,90.2090074074074,0.735400577791904
19,2334.91728333333,2499.84166666667,24.1656715524954,38.604312683861,29.6063989337092,0,89.0671259259259,0.93402606831766
20,3604.15693333333,2821.19333333333,24.1069594244332,38.0430931411576,30.6053657381196,0,76.0369851851852,1.27752922522148
