Mode,N_samples,Duration_h,P_solar_mean_W,P_demand_mean_W,SOC_mean_pct,Theta_mean_deg
Fly-Y,6747,112.45,1148.94982186673,731,96.5527463226538,57.2099713948048
Fly-Z,7129,118.816666666667,606.977970262308,629.503015850752,36.8837412547321,84.4234111376069
Sun-Vel,1185,19.75,2187.22124894515,711,99.7691880165271,0
HGA_Comm,405,6.75,2037.79514074103,593,99.7789494343871,20.5210691358025
DeepDip,27,0.45,1381.90803703704,761,69.9200943301568,50.0920740740741
Eclipse,1822,30.3666666666667,9.2227892006726e-07,600,94.7767246061082,58.8600164636688
SafeMode,30,0.5,2180.56993333333,456,37.0488070465233,0
Slew,48,0.8,1642.16935532278,691.90625,86.9473518180066,35.7388332800454
Relay,33,0.55,1691.68366156672,793,99.9606724315962,33.6629699133751
