Time_s,P_solar_STK_W,P_solar_model_W,P_demand_W,P_battery_W,SOC_pct,V_bus_V,P_surplus_W,P_deficit_W,LoadShed,Eclipse_flag,Pointing_mode,Theta_deg,Distance_AU,Beta_deg,Altitude_km,Comm_flag
0,2189.157,2360.22586848159,711,-1478.157,85,30.8,0,0,0,0,3,0,1.407148,-47.343,156.689999985872,1
59.9999964237213,2188.217,2360.22586848159,711,-1477.217,85.4232521791811,30.8338601743345,0,0,0,0,3,0,1.407148,-47.342,159.502978341986,1
120.000002905726,2188.62,2360.22595422827,711,-1477.62,85.8462352008584,30.8676988160687,0,0,0,0,3,0,1.40714797443925,-47.341,167.916188217642,1
179.999999329448,2188.217,2360.2289859284,711,-1477.217,86.269333616657,30.9015466893326,0,0,0,0,3,0,1.40714707070235,-47.341,181.858600074556,1
239.999995753169,2188.486,2360.22922310866,711,-1477.486,86.6923166383343,30.9353853310667,0,0,0,0,3,0,1.407147,-47.3401159527499,201.217609554689,1
300.000002235174,2188.217,2360.22621739804,711,-1477.217,87.1153766848717,30.9692301347897,0,0,0,0,3,0,1.4071478959894,-47.34,225.841639101908,1
359.999998658895,2187.948,2360.22586848159,711,-1476.948,87.538359706549,31.0030687765239,0,0,0,0,3,0,1.407148,-47.339,255.544001146894,1
419.999995082617,2185.933,2360.22586848159,711,-1474.933,87.9612657033661,31.0369012562693,0,0,0,0,3,0,1.407148,-47.339,290.107841223215,1
480.000001564622,2188.753,2360.22586848159,711,-1477.753,88.3835947295766,31.0706875783661,0,0,0,0,3,0,1.407148,-47.3388887895014,329.291589251223,1
539.999997988343,2189.423,2360.22586848159,711,-1478.423,88.8067312282986,31.1045384982639,0,0,0,0,3,0,1.407148,-47.3380756492294,372.834572907514,1
600.000004470348,2187.945,2360.22361249984,711,-1476.945,89.2300595733266,31.1384047658661,0,0,0,0,3,0,1.40714867249972,-47.338,420.462545532229,1
660.00000089407,2188.347,2360.22251386168,711,-1477.347,89.6529647111304,31.1722371768904,0,0,0,0,3,0,1.407149,-47.3376039605032,471.892903068331,1
719.999997317791,2187.943,2360.22217497111,711,-1476.943,90.0759849567178,31.2121575930748,0,0,0,0,3,0,1.40714910102216,-47.3368989778367,526.839460273065,1
780.000003799796,2182.972,2360.21989390371,711,-1471.972,90.4988895218461,31.2798223234954,0,0,0,0,3,0,1.40714978100143,-47.3362189985739,585.016658182293,1
840.000000223517,2190.089,2360.21765855579,711,-1479.089,90.9203707019194,31.3472593123071,0,0,0,0,3,0,1.40715044735281,-47.3355526471939,646.143144891092,1
899.999996647239,2188.475,2360.21545214396,711,-1477.475,91.3438897479022,31.4150223596644,0,0,0,0,3,0,1.40715110507934,-47.3348949206574,709.94473403485,1
960.000003129244,2189.414,2360.2132829182,711,-1478.414,91.7669466447242,31.4827114631559,0,0,0,0,3,0,1.40715175172169,-47.3342482783075,776.15675265673,1
1019.99999955297,2188.337,2360.211141216,711,-1477.337,92.1902724127122,31.5504435860339,0,0,0,0,3,0,1.40715239016019,-47.3332196796166,844.525793143381,1
1079.99999597669,2188.335,2360.20901842873,711,-1477.335,92.6132897949219,31.6181263671875,0,0,0,0,3,0,1.40715302296103,-47.331954077932,914.810979458106,1
1140.00000245869,2189.139,2360.20694135007,711,-1478.139,93.036306604456,31.685809056713,0,0,0,0,3,0,1.40715364213701,-47.3307157259781,986.784773915351,1
1199.99999888241,2189.271,2360.204885934,711,-1478.271,93.4595536295573,31.7535285807292,0,0,0,0,3,0,1.40715425485619,-47.3294902876286,1060.23339605668,1
1259.99999530613,2187.657,2360.20286018285,711,-1476.657,93.8828384512442,31.8212541521991,0,0,0,0,3,0,1.40715485873304,-47.3282825339287,1134.95694823275,1
1320.00000178814,2188.595,2360.20087679086,711,-1477.595,94.3056611237702,31.8889057798032,0,0,0,0,3,0,1.40715544998336,-47.3271000332729,1210.76928274733,1
1379.99999821186,2187.921,2360.19878844726,711,-1476.921,94.7287523811246,31.9566003809799,0,0,0,0,3,0,1.40715607252064,-47.325927479365,1287.49767606533,1
1440.00000469387,2188.187,2360.1949653666,711,-1477.187,95.1516506468219,32.0242641034915,0,0,0,0,3,0,1.40715721218686,-47.3247878131357,1364.98236153063,1
1500.00000111759,2188.184,2360.19175154599,711,-1477.184,95.5746250783661,32.0919400125386,0,0,0,0,3,0,1.40715817023388,-47.323659532247,1443.0759625175,1
1559.99999754131,2188.719,2360.18990186612,711,-1477.719,95.997598650897,32.1596157841435,0,0,0,0,3,0,1.40715872162841,-47.3225567431773,1521.64284888338,1
1620.00000402331,2188.984,2360.18722361124,711,-1477.984,96.4207254141348,32.2273160662616,0,0,0,0,3,0,1.40715952002453,-47.3212199632018,1600.55846613595,1
1680.00000044703,2190.056,2360.1837005546,711,-1479.056,96.8439280568817,32.2950284891011,0,0,0,0,3,0,1.40716057026076,-47.3196446088665,1679.70863042674,1
1739.99999687076,2188.173,2360.18029107442,711,-1477.173,97.2674376537182,32.3627900245949,0,0,0,0,3,0,1.40716158664166,-47.3184133583413,1758.9888379752,1
1800.00000335276,2188.304,2360.17696025537,711,-1477.304,97.6904080765336,32.4304652922454,0,0,0,0,3,0,1.40716257957546,-47.3174204245413,1838.30357470016,1
1859.99999977648,2188.838,2360.1737377799,711,-1477.838,98.1134160095968,32.4981465615355,0,0,0,0,3,0,1.4071635402135,-47.3161896797502,1917.56565322022,1
1919.9999962002,2189.238,2360.17059486785,711,-1478.238,98.5365768470293,32.5658522955247,0,0,0,0,3,0,1.40716447713513,-47.3147842973016,1996.69557674203,1
1980.00000268221,2189.504,2360.16746297818,711,-1478.504,98.9598522195698,32.6335763551312,0,0,0,0,3,0,1.40716541077279,-47.3133838408195,2075.62093281544,1
2039.99999910593,2188.023,2360.16434500687,711,-1477.023,99.3832037579572,32.7013126012731,0,0,0,0,3,0,1.40716634026313,-47.3119896053053,2154.27582281591,1
2099.99999552965,2188.557,2360.1607705716,711,-1477.557,99.806131230107,32.7689809968171,0,0,0,0,3,0,1.40716740583102,-47.3107294459837,2232.60033139778,1
2160.00000201166,2189.36,2360.1560797564,711,0,100,32.8,1478.36,0,0,0,3,0,1.40716880420443,-47.3097971970487,2310.54002437373,1
2219.99999843538,2188.417,2360.15160402339,711,0,100,32.8,1477.417,0,0,0,3,0,1.40717013846382,-47.3088615361826,2388.0454918187,1
